"","code","year","GDP","G","I","C","NX","test","discrepancy"
"1","chn",2016,745632.4,106467,329137.6,293443.1,16584.7,6.91215973347425e-11,0
"2","chn",2015,699109.4,96286.4,312835.7,265980.1,24007.2,1.09139364212751e-11,0
"3","chn",2014,647181.7,85772.9,302717.5,242539.7,16151.6,-8.18545231595635e-11,0
"4","chn",2013,596962.9,80575.3,282073,219762.5,14552.1,3.45607986673713e-11,0
"5","chn",2012,540988.9,72576.1,255240,198536.8,14636,5.82076609134674e-11,0
"6","chn",2011,486037.8,64490.1,233327.2,176532,11688.5,0,0
"7","chn",2010,410708.3,52940.5,196653.1,146057.6,15057.1,-2.36468622460961e-11,0
"8","chn",2009,349883.3,46067.4,162117.9,126660.9,15037.1,-2.36468622460961e-11,0
"9","chn",2008,319935.9,42128,138242.8,115338.3,24226.8,4.72937244921923e-11,0
"10","chn",2007,271699.3,36436.2,112046.8,99793.3,23423.1,-0.100000000013097,0
"11","chn",2006,221206.5,30609.5,89823.4,84119.1,16654.6,-0.0999999999985448,0
"12","chn",2005,189190.4,26215.4,77533.6,75232.4,10209.1,-0.100000000000364,0
"13","chn",2004,162742.1,22499.1,69420.5,66587,4235.6,-0.100000000000364,0
"14","chn",2003,138314.7,20169.3,55836.7,59343.8,2964.9,8.64019966684282e-12,0
"15","chn",2002,122292.2,18991.8,45129.8,55076.4,3094.2,-1.00044417195022e-11,0
"16","chn",2001,111250.2,17837.9,40378.9,50708.8,2324.7,-0.100000000015825,0
"17","chn",2000,100576.8,16679.9,34526.1,46987.8,2383,-7.27595761418343e-12,0
"18","chn",1999,90823.8,14706.7,31665.6,41914.9,2536.6,5.91171556152403e-12,0
"19","chn",1998,85486.3,12638.6,30396.6,38821.8,3629.3,-4.54747350886464e-12,0
"20","chn",1997,80024.8,10882.3,28966.2,36626.3,3550,-3.63797880709171e-12,0
"21","chn",1996,72102.5,9426.4,27556.6,33660.3,1459.1,0.0999999999971806,0
"22","chn",1995,61539.1,8125.1,24342.5,28072.9,998.6,-1.47792889038101e-12,0
"23","chn",1994,48822.7,6826.2,19916.3,21446.1,634.1,2.1600499167107e-12,0
"24","chn",1993,35900.1,5100.5,15782.9,15696.2,-679.5,-1.81898940354586e-12,0
"25","chn",1992,27334.2,3912.9,10833.6,12312.2,275.6,-0.100000000001842,0
"26","chn",1991,22124.2,3069.7,7892.5,10544.5,617.6,-0.100000000000023,0
"27","chn",1990,19067,2566.4,6555.3,9435,510.3,-1.64845914696343e-12,0
"28","chn",1989,17359.6,2255.4,6511.9,8778,-185.5,-0.200000000000728,0
"29","chn",1988,15332.2,1890.9,6060.3,7532.1,-151.2,0.100000000000534,0
"30","chn",1987,12294.2,1591.1,4644.7,6047.6,10.8,1.81188397618826e-13,0
"31","chn",1986,10473.7,1433.5,4001.9,5293.5,-255.2,6.25277607468888e-13,0
"32","chn",1985,9180.5,1290.5,3629.6,4627.4,-367.1,0.100000000000477,0
"33","chn",1984,7345.9,1094.9,2560.2,3689.6,1.3,-0.0999999999997272,0
"34","chn",1983,6078.7,838.6,1968.3,3220.9,50.8,0.0999999999994117,0
"35","chn",1982,5426.3,708.5,1759.6,2867.1,91.1,3.69482222595252e-13,0
"36","chn",1981,4957.3,649.8,1662.8,2627.5,17.1,0.100000000000044,0
"37","chn",1980,4575.3,630,1623.1,2336.9,-14.7,1.81188397618826e-13,0
"38","chn",1979,4078.2,564.3,1519.9,2014,-20,-4.54747350886464e-13,0
"39","chn",1978,3634.1,473.8,1412.7,1759.1,-11.4,-0.100000000000227,0
"40","chn",1977,3166,410,1098.1,1647.8,10.1,1.36779476633819e-13,0
"41","chn",1976,2968.3,381,990.1,1588.5,8.7,1.59872115546023e-13,0
"42","chn",1975,2950.4,358.9,1062.3,1528.5,0.7,4.55191440096314e-14,0
"43","chn",1974,2738.7,342.6,936.1,1467,-7,-1.13686837721616e-13,0
"44","chn",1973,2669.6,318.8,903.5,1432.5,14.8,-2.73558953267639e-13,0
"45","chn",1972,2453.8,310.1,791.1,1334.2,18.4,2.06057393370429e-13,0
"46","chn",1971,2392.5,295.9,819,1262,15.6,-9.05941988094128e-14,0
"47","chn",1970,2207,252.9,744.9,1206.8,2.4,-2.26485497023532e-14,0
"48","chn",1969,1857.7,231.7,485.9,1127.7,12.4,-2.30926389122033e-14,0
"49","chn",1968,1708.7,192.5,432.2,1076.6,7.4,1.47437617670221e-13,0
"50","chn",1967,1707.7,194.2,425.7,1081.5,6.3,1.15463194561016e-14,0
"51","chn",1966,1827.3,230.2,569.8,1021.1,6.2,-6.83897383169096e-14,0
"52","chn",1965,1629.2,207.1,462.1,951.5,8.5,1.13686837721616e-13,0
"53","chn",1964,1441.8,189,350.3,889.6,12.9,-7.99360577730113e-14,0
"54","chn",1963,1293.1,170.1,265.3,844.2,13.5,-5.6843418860808e-14,0
"55","chn",1962,1176.4,147,178.1,838.7,12.6,5.15143483426073e-14,0
"56","chn",1961,1275.2,178.4,274.6,816.7,5.5,-1.13686837721616e-13,0
"57","chn",1960,1508,190.9,575,741.7,0.4,-1.36446409726432e-13,0
"58","chn",1959,1451.3,130.3,621.7,691.2,8.1,-9.05941988094128e-14,0
"59","chn",1958,1291.2,128.6,432,724,6.6,1.36779476633819e-13,0
"60","chn",1957,1101.9,129.8,280,686.6,5.5,1.13686837721616e-13,0
"61","chn",1956,1034.2,125.8,257.6,646.8,4,1.13686837721616e-13,0
"62","chn",1955,934.9,119.7,221.5,602.6,-8.9,-9.05941988094128e-14,0
"63","chn",1954,878.3,104.1,226.9,550,-2.7,-7.37188088351104e-14,0
"64","chn",1953,834.3,115.2,198.3,529.2,-8.4,-1.47437617670221e-13,0
"65","chn",1952,692.2,93.3,153.7,453,-7.8,1.02140518265514e-13,0
